GFP (nM)	mCherry (nM)	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150	152	154	156	158	160	162	164	166	168	170	172	174	176	178	180	182	184	186	188	190	192	194	196	198	200	202	204	206	208	210	212	214	216	218	220	222	224	226	228	230	232	234	236	238	240	242	244	246	248	250	252	254	256	258	260	262	264	266	268	270	272	274	276	278	280	282	284	286	288	290	292	294	296	298	300	302	304	306	308	310	312	314	316	318	320	322	324	326	328	330	332	334	336	338	340	342	344	346	348	350	352	354	356	358	360
0	1	-0.0001278772	0.0003623188	2.13128729752768E-05	0.0003196931	0.0005967604	-0.0001491901	0.0004901961	0.000341006	0	0.0004049446	0.0008951407	0.0001918159	0.000170503	0.0002344416	-0.0001918159	-0.0006606991	-0.0010656436	0.0001278772	-0.0006393862	0	-0.0001065644	-0.0002770673	-0.0009377664	0.0001918159	0.0002557545	0.0002557545	-2.13128729752768E-05	-0.0002131287	4.26257459505544E-05	0.0003623188	-0.0001918159	0.0002557545	0.000341006	0.0004901961	0.0006820119	0.0001918159	6.39386189258312E-05	0.0008098892	0.0011935209	0.0005541347	0.0014492754	0.0014919011	0.001513214	0.0022804774	0.0023657289	0.0023657289	0.0038150043	0.0034526854	0.0050085251	0.0048380222	0.0047314578	0.0054560955	0.006713555	0.0080136402	0.0080775789	0.0087382779	0.0098252344	0.0111253197	0.012745098	0.0129369139	0.0127024723	0.0143648764	0.0159207161	0.017625746	0.0180306905	0.0195225916	0.0195439045	0.0215899403	0.0231244672	0.025170503	0.0267263427	0.0271312873	0.0293052003	0.0310315431	0.0308184143	0.0323316283	0.0333333333	0.0352941176	0.0379795396	0.0380647911	0.0388959932	0.0417945439	0.0407502131	0.0433077579	0.0430520034	0.0457161125	0.0452046036	0.0483375959	0.0498721228	0.0493819267	0.0504475703	0.0527919864	0.0534526854	0.0549019608	0.05571185	0.0576086957	0.0567774936	0.0581628303	0.0621057118	0.057885763	0.0599104859	0.0611466326	0.0602088662	0.0640664962	0.0663895993	0.0666666667	0.0651747656	0.0651321398	0.0644075021	0.0677749361	0.0679028133	0.0689258312	0.0703111679	0.068797954	0.0690537084	0.0711636829	0.0697783461	0.0724211424	0.0713768116	0.0729752771	0.0731670929	0.0725063939	0.0730605286	0.0735933504	0.0738491049	0.0757459506	0.0764919011	0.0730605286	0.0737638534	0.0740196078	0.0743179881	0.0740409207	0.0765558397	0.0757672634	0.0751918159	0.0749360614	0.0769394714	0.0743179881	0.074658994	0.0761295823	0.0781116795	0.0748934356	0.0750426257	0.0748081841	0.0765558397	0.0765984655	0.0771099744	0.0764066496	0.0759164535	0.0747442455	0.078026428	0.0772804774	0.0759164535	0.0774509804	0.0760869565	0.0748721228	0.0752344416	0.0727408355	0.0730605286	0.075170503	0.0742114237	0.0769181586	0.0766624041	0.0720375107	0.077514919	0.0746376812	0.0746376812	0.0732949702	0.0757033248	0.0742114237	0.0748081841	0.0749573743	0.0719948849	0.0763000853	0.074168798	0.0707800512	0.076172208	0.0740622336	0.0723998295	0.0723358909	0.0726129582
0	1	-0.0001278772	0.0008738278	0.0010443308	6.39386189258312E-05	0.000341006	0.0009377664	0.0007459506	-0.0002344416	0.0001278772	2.13128729752768E-05	-0.0004475703	-6.39386189258312E-05	-0.000341006	4.26257459505544E-05	0.0004475703	4.26257459505544E-05	0.0002770673	6.39386189258312E-05	0.0001278772	0.0003196931	0.0002770673	-2.13128729752768E-05	0.0004688832	-0.0004475703	0	0.0001278772	0.0006180733	0.0004262575	0.0006820119	-2.13128729752768E-05	0.0001278772	-6.39386189258312E-05	0.0013000853	0.0002983802	0.0004901961	0.000511509	0.0009590793	0.0005541347	0.001001705	0.0012574595	0.0017050298	0.0017476556	0.0018968457	0.0026001705	0.0025575448	0.0030051151	0.0031756181	0.004028133	0.0044330776	0.0057971014	0.0049872123	0.0067988065	0.0068414322	0.006543052	0.0076300085	0.0095055413	0.0105285592	0.0116368286	0.0126811594	0.0124254049	0.014940324	0.0154518329	0.0163043478	0.0180093777	0.0193094629	0.0213768116	0.0215260017	0.0230605286	0.0252344416	0.025170503	0.0278132992	0.0294970162	0.0311594203	0.0294330776	0.032544757	0.0333546462	0.035059676	0.0377877238	0.0368925831	0.0376172208	0.0391517477	0.0419224211	0.0419011083	0.0421568627	0.0450341006	0.0461636829	0.0477621483	0.0480179028	0.0498081841	0.050341006	0.0527493606	0.0524083546	0.0525575448	0.0570758738	0.0586530264	0.0546035806	0.056713555	0.0579710145	0.0592924126	0.0588448423	0.0611892583	0.0603154305	0.0614236999	0.0648976982	0.0661338448	0.0673060529	0.0667092924	0.0674339301	0.0676044331	0.0675831202	0.0676470588	0.0668797954	0.0712063086	0.0691176471	0.072826087	0.0716112532	0.0702898551	0.0696078431	0.0705456095	0.0725277067	0.0731670929	0.0703964194	0.0756180733	0.0726982097	0.0709079284	0.0736359761	0.0746376812	0.0756180733	0.0745311168	0.0721014493	0.073998295	0.0731457801	0.0732949702	0.0738491049	0.0751918159	0.0734654731	0.076172208	0.0737425405	0.0757459506	0.0742753623	0.0777280477	0.0770673487	0.0762574595	0.0762148338	0.0724637681	0.0757672634	0.0771099744	0.0750639386	0.0771952259	0.0750639386	0.0756606991	0.0749147485	0.0776427962	0.0752770673	0.0746163683	0.0753836317	0.0756180733	0.0747868713	0.0751065644	0.0763213981	0.0748508099	0.0748081841	0.0742966752	0.0747229327	0.0762361466	0.0736146633	0.073998295	0.0729113384	0.0734015345	0.0754262575	0.0769820972	0.0735507246	0.075	0.0746376812	0.0749360614	0.0733375959	0.073486786	0.0727195226	0.0735507246	0.072655584	0.0749147485
0	1	-0.0005754476	-2.13128729752777E-05	-4.26257459505544E-05	0.0001278772	0.0007246377	-0.0002770673	0.0007459506	-0.0005541347	-6.39386189258312E-05	-4.26257459505544E-05	0.0001918159	0	0.0002344416	-0.0002131287	0.0003196931	-0.0004688832	-0.0001065644	-0.0004475703	-6.39386189258312E-05	0.0002557545	-0.0003623188	-0.0002770673	-0.0003623188	-0.000831202	-0.0003196931	0.0003196931	4.26257459505544E-05	-0.0001491901	-8.5251491901108E-05	-0.0005328218	-0.0002557545	0.0003836317	2.13128729752768E-05	0.0001065644	0.0006820119	0.0002557545	0.0008951407	0.001513214	0.0008098892	0.0015771526	0.0016410912	0.0020673487	0.0022804774	0.0030477408	0.0036445013	0.0047953964	0.0051577153	0.0047953964	0.0054560955	0.0075234442	0.0074168798	0.0086530264	0.010230179	0.0120417732	0.0115302643	0.0137254902	0.0139173061	0.015601023	0.016773231	0.0197144075	0.020630861	0.0225490196	0.022826087	0.0239556692	0.0256393862	0.027514919	0.0295183291	0.030541347	0.0338022165	0.0343137255	0.0367007673	0.0387681159	0.0397911338	0.039599318	0.0427109974	0.0446078431	0.046312873	0.047314578	0.0480818414	0.0498934356	0.0535379369	0.0547740835	0.0564151748	0.0564791134	0.0589087809	0.0596547315	0.059398977	0.0627237852	0.0638746803	0.0628090367	0.0659846547	0.0641730605	0.070140665	0.0710784314	0.0697144075	0.071483376	0.0712915601	0.0707587383	0.0742540494	0.0737425405	0.0733375959	0.0737425405	0.0768968457	0.0782608696	0.0772591645	0.0807331628	0.0810315431	0.0816283035	0.0795609548	0.0808823529	0.0804987212	0.0822890026	0.0808610401	0.0836317136	0.0828644501	0.0848465473	0.0816709292	0.0846973572	0.0833333333	0.0853793691	0.0858269395	0.0845268542	0.0841858483	0.0856138107	0.085741688	0.0864236999	0.0871696505	0.0863597613	0.0884697357	0.0839940324	0.0865302643	0.0874680307	0.0859548167	0.0858695652	0.0860613811	0.089258312	0.0865302643	0.0872335891	0.0852728048	0.0898124467	0.0882139812	0.0874254049	0.0850809889	0.0872122762	0.0835251492	0.0864450128	0.087084399	0.0836956522	0.0835890878	0.0844629156	0.085059676	0.0861679454	0.0836530264	0.0862745098	0.0856138107	0.0836317136	0.0825234442	0.0837382779	0.0828431373	0.0846334186	0.0828431373	0.0840792839	0.0818414322	0.0818201194	0.0823103154	0.0826300085	0.0812233589	0.0778346121	0.0833120205	0.0826513214	0.0808823529	0.0809676044	0.0801150895	0.0817348679	0.0795396419	0.0793478261	0.079369139	0.0798806479	0.0794970162	0.0792412617	0.0793904518
0	2	-0.0006393862	4.26257459505535E-05	2.13128729752768E-05	0.0010869565	8.5251491901108E-05	0.0008098892	0.000170503	-0.0002983802	-0.0001918159	-0.0004901961	-0.0001278772	-0.0007672634	-0.0005967604	-0.0006606991	0.0001918159	-0.0007885763	-0.0011295823	-0.0001918159	0.0003836317	-0.0002557545	-4.26257459505544E-05	-0.0005328218	0.0002770673	-0.0008951407	-0.000511509	-0.0003836317	0.0004901961	-8.5251491901108E-05	-2.13128729752768E-05	0.0003623188	0.0002557545	6.39386189258312E-05	0.0004049446	0.0010656436	0.0016410912	0.0010869565	0.001342711	0.0015771526	0.0031756181	0.002344416	0.0045183291	0.0036018755	0.0048380222	0.0061807332	0.0056905371	0.007544757	0.0088022165	0.0111253197	0.0124254049	0.0134697357	0.0146419437	0.0172208014	0.0199488491	0.0211210571	0.0231670929	0.0249786871	0.0295183291	0.029859335	0.032374254	0.036402387	0.0389812447	0.0422421142	0.045971867	0.0502983802	0.0499360614	0.0544970162	0.0574595055	0.0612318841	0.0651321398	0.0683290708	0.0715473146	0.0732310315	0.0782821824	0.0828218244	0.0845268542	0.0876385337	0.0916453538	0.0949488491	0.0984654731	0.1011082694	0.101683717	0.1077791986	0.1091005968	0.1091005968	0.1124893436	0.1159846547	0.1228900256	0.1199488491	0.1238491049	0.1282821824	0.1284526854	0.1315004263	0.1341432225	0.139940324	0.1408780904	0.1363171355	0.1418797954	0.139940324	0.1491901108	0.1465686275	0.1487212276	0.1479113384	0.1514492754	0.1539641944	0.1555200341	0.1569479966	0.158716965	0.1573316283	0.1578218244	0.1584398977	0.1615089514	0.1636828645	0.1612958227	0.1658567775	0.1617007673	0.1617007673	0.1635123615	0.1666666667	0.1615302643	0.165942029	0.1667092924	0.1676470588	0.1673699915	0.1671994885	0.1682225064	0.1685848252	0.1698422847	0.1706947997	0.1701832907	0.1677536232	0.1653665814	0.1695012788	0.1714407502	0.169629156	0.1705882353	0.1699488491	0.1671568627	0.1665174766	0.1660912191	0.1704390452	0.1708226769	0.1711849957	0.1713981245	0.1695012788	0.1661977835	0.166943734	0.1667519182	0.1691815857	0.1719522592	0.1705242967	0.1674126172	0.1683930094	0.1688832055	0.1689471441	0.1699488491	0.1663043478	0.1666666667	0.1662190963	0.1669863598	0.1665387894	0.1634697357	0.1663682864	0.1684782609	0.1651960784	0.1654944587	0.1621057118	0.1609548167	0.1628729753	0.1633631714	0.1631500426	0.16342711	0.1601236147	0.1637468031	0.161402387	0.1611253197	0.1578005115	0.1591005968	0.1579497016	0.1548167093	0.1576300085	0.1580349531
0	2	0.0007672634	0.0015771526	0.0007246377	0.0007672634	0.0001491901	-0.0002131287	0.0006820119	-0.0002983802	0.0002557545	-0.0008738278	0	0.000831202	-0.0004688832	4.26257459505544E-05	0.0007033248	-2.13128729752768E-05	-0.0014492754	-0.0006393862	-0.0002557545	0.0001278772	-0.0003623188	-0.000341006	0.0005328218	-0.0004475703	0.0001278772	0.000511509	0.0001065644	0.0006180733	0.0003623188	0.0006180733	0.0003836317	0.0007033248	0.0005328218	0.0015771526	0.001513214	0.0010869565	0.002173913	0.001513214	0.002855925	0.0029838022	0.0038789429	0.0044970162	0.0043904518	0.0066922421	0.0063938619	0.0086956522	0.0086104007	0.0101662404	0.0124893436	0.013086104	0.0126598465	0.0178601876	0.0193734015	0.0202898551	0.0236786019	0.0231884058	0.0286231884	0.0316496164	0.0331415175	0.0360826939	0.039428815	0.0428175618	0.0469309463	0.0481884058	0.0514705882	0.0556479113	0.05771526	0.0592497869	0.0664748508	0.0694160273	0.0735933504	0.0766197783	0.0774509804	0.0824381927	0.0859335038	0.0878942882	0.0959292413	0.0968030691	0.0999360614	0.1028985507	0.1064151748	0.1086743393	0.1144075021	0.1142796249	0.1177962489	0.1225703325	0.1262148338	0.1270460358	0.1301790281	0.1351875533	0.1353580563	0.1419863598	0.1413043478	0.1442242114	0.1445865303	0.1484015345	0.149488491	0.1490835465	0.1560954817	0.1575660699	0.155370844	0.157054561	0.1593776641	0.1631713555	0.16543052	0.1657075874	0.1646632566	0.1643648764	0.1675404945	0.1725063939	0.1687340153	0.1661764706	0.1717178176	0.1731457801	0.1731457801	0.1735933504	0.1741901108	0.1760656436	0.1791773231	0.1798806479	0.1796248934	0.1765345269	0.1792625746	0.183056266	0.1788363171	0.1809889173	0.1785379369	0.1807331628	0.1799019608	0.1802855925	0.1771312873	0.1812659847	0.1809676044	0.1837595908	0.1856777494	0.1837595908	0.1866581415	0.1853154305	0.1794543905	0.1857843137	0.177344416	0.1816709292	0.1788150043	0.1801790281	0.1775788576	0.183056266	0.1801790281	0.1776214834	0.1784100597	0.1809462916	0.17885763	0.1806692242	0.1786658142	0.1778985507	0.1786445013	0.1779411765	0.1750426257	0.1769607843	0.1738917306	0.180029838	0.1784313725	0.176342711	0.1757672634	0.1759377664	0.1768115942	0.1745737425	0.1736786019	0.171312873	0.1784526854	0.1747868713	0.172826087	0.1734228474	0.1740409207	0.1720161978	0.1725703325	0.1712276215	0.1713768116	0.1690750213	0.1735507246	0.1741901108	0.1714620631
0	2	-0.0007672634	0.0002344416	-4.26257459505544E-05	0.0001278772	0.0004049446	-2.13128729752768E-05	-0.0002131287	-0.0006180733	0.0001278772	-0.0006180733	-0.0003196931	-0.000511509	-0.0007246377	-0.0009164535	-0.0002557545	-0.0004688832	-0.0006180733	-0.000511509	-0.0010230179	-0.0001278772	-0.0003623188	-0.0007246377	2.13128729752768E-05	0	-0.000511509	-0.0003196931	-0.0002770673	0.0001065644	-0.0002131287	0.0002344416	0.0007033248	0.0003196931	0.0005328218	0.0013853367	0.0020886616	0.0024936061	0.0024936061	0.0024722933	0.0047740835	0.0043904518	0.0054134697	0.0060954817	0.0069479966	0.0084825234	0.0092710997	0.0127237852	0.0136615516	0.0159207161	0.0175404945	0.0201193521	0.0230818414	0.0247655584	0.0294117647	0.0309676044	0.0337809037	0.0375745951	0.039428815	0.0435421995	0.0502131287	0.051172208	0.0576513214	0.0616794544	0.0632992327	0.0687766411	0.072314578	0.0758525149	0.0824595055	0.0866794544	0.0906436488	0.0939045183	0.0973785166	0.1018115942	0.1074381927	0.1112745098	0.1159207161	0.1198635976	0.1236146633	0.127685422	0.1304347826	0.1337809037	0.1380008525	0.1433290708	0.145801364	0.1468883205	0.1504049446	0.1542838875	0.159398977	0.1577365729	0.1648976982	0.1677962489	0.1712276215	0.1736359761	0.175511509	0.1806052856	0.1795609548	0.179859335	0.1835038363	0.1852728048	0.1945225916	0.1902387042	0.1875959079	0.1943307758	0.1976768968	0.1977621483	0.1983589088	0.1989556692	0.2013640239	0.2031116795	0.2066069906	0.2047314578	0.2055626598	0.200831202	0.2050937766	0.2065217391	0.2108056266	0.2074168798	0.2047527707	0.2132139812	0.2069266837	0.2096760443	0.2149190111	0.2136828645	0.2116155158	0.2101662404	0.2112531969	0.2134697357	0.2096760443	0.2119991475	0.2142369991	0.2110400682	0.2138959932	0.2125319693	0.2098678602	0.2124680307	0.2150895141	0.2120204604	0.2151108269	0.211913896	0.2088661552	0.2128942882	0.2112318841	0.2088448423	0.2111040068	0.209398977	0.2041133845	0.2132992327	0.2094629156	0.2072890026	0.208397272	0.206202046	0.2047527707	0.2066922421	0.2122975277	0.207885763	0.2059462916	0.2072250639	0.1992753623	0.2034953112	0.2020886616	0.2024083546	0.2017050298	0.2001918159	0.2016624041	0.1965260017	0.203026428	0.1990622336	0.1968243819	0.1937553282	0.2015345269	0.1958226769	0.1959079284	0.1975916454	0.1955882353	0.193627451	0.1971867008	0.1950767263	0.1921568627	0.1913256607	0.190942029	0.1920289855	0.192945439
0	4	-0.0005754476	4.26257459505535E-05	-0.000170503	-0.0003196931	-0.000170503	-0.0001491901	-0.0002131287	-0.0001065644	-0.0005754476	-0.001001705	-0.0001918159	0.0002557545	-0.0005328218	-0.0005328218	0.0004475703	-0.0009803922	-0.0003623188	-0.0003836317	0	-0.0005754476	-0.0002344416	-2.13128729752768E-05	-0.0003623188	0.0003196931	0	0.000831202	0.0006180733	0.0014492754	0.0017689685	0.0014492754	0.0014066496	0.0025575448	0.0043052003	0.0047101449	0.0049658994	0.0052429668	0.0069053708	0.0078431373	0.0102728048	0.010912191	0.0155797101	0.0161977835	0.017945439	0.0209505541	0.023657289	0.0281969309	0.0293904518	0.0339514066	0.0380008525	0.0414109122	0.0459079284	0.0500213129	0.0557544757	0.0599957374	0.0653665814	0.0682011935	0.075170503	0.0801790281	0.0856990622	0.0924126172	0.0981884058	0.1006180733	0.1078644501	0.1133418585	0.1203964194	0.1236786019	0.1319479966	0.1364876385	0.1431372549	0.1453111679	0.1521099744	0.1582693947	0.1628090367	0.1692668372	0.1735294118	0.1738917306	0.1808397272	0.1837595908	0.1942455243	0.1956095482	0.1966965047	0.1993393009	0.2044330776	0.2059036658	0.2103154305	0.2133631714	0.2184782609	0.2213554987	0.2244245524	0.2285379369	0.2336956522	0.2341858483	0.2350383632	0.2398763853	0.241773231	0.2393222506	0.245140665	0.2463341858	0.2504049446	0.2525788576	0.2466112532	0.2492540494	0.2506180733	0.2539641944	0.2555839727	0.2513213981	0.2553282182	0.2584825234	0.2569906223	0.2595907928	0.2582480818	0.2609335038	0.2577791986	0.259398977	0.2616368286	0.26342711	0.261402387	0.2625106564	0.261913896	0.2631287298	0.2647271952	0.2628516624	0.2592497869	0.2632992327	0.2623401535	0.2643648764	0.2625532822	0.2621270247	0.2636615516	0.2612318841	0.2615942029	0.2611892583	0.2598039216	0.2623401535	0.2587595908	0.2612531969	0.2606351236	0.2611466326	0.2564364876	0.2578431373	0.2562446718	0.2591645354	0.2598252344	0.2612531969	0.2531543052	0.2576086957	0.2558184143	0.254028133	0.2534739983	0.2537084399	0.247144075	0.2509377664	0.2488704177	0.2491261722	0.2523017903	0.2533248082	0.2491474851	0.2435848252	0.2467178176	0.2470375107	0.2453751066	0.2436061381	0.2442455243	0.239428815	0.2433716965	0.2428601876	0.2386402387	0.2403026428	0.2377877238	0.2392369991	0.2430306905	0.236402387	0.2351023018	0.2321824382	0.2339514066	0.2345907928	0.2305839727	0.2349957374	0.2344202899	0.2282821824	0.2300937766
0	4	-0.0007672634	0.0003623188	0.0004688832	-0.0005754476	2.13128729752768E-05	0.0002983802	-0.0002131287	0.0005328218	-6.39386189258312E-05	-0.0003623188	0.0002557545	0.0001918159	-0.0002770673	-0.0002131287	-6.39386189258312E-05	-0.0007246377	0.0002770673	-0.0006393862	-0.0002557545	0.0001278772	-0.0001065644	0.0001065644	-0.000170503	0.0007033248	0.0002557545	0.0004475703	0.0002983802	4.26257459505544E-05	0.0002983802	4.26257459505544E-05	0.0002557545	0.0014066496	0.0017476556	0.0027280477	0.0024083546	0.0035805627	0.0037084399	0.0042625746	0.0050937766	0.0066283035	0.0086743393	0.0110187553	0.0112958227	0.0140451833	0.0148337596	0.0176470588	0.0208226769	0.0218030691	0.025341006	0.0290707587	0.0333759591	0.0371696505	0.0411764706	0.0438192668	0.0480392157	0.052855925	0.0577791986	0.0615089514	0.0658141517	0.0749573743	0.0749786871	0.0830349531	0.0886189258	0.0905157715	0.0962915601	0.1050085251	0.1096973572	0.1156436488	0.1214620631	0.1254262575	0.1328005115	0.1378729753	0.1432438193	0.1462489344	0.1517263427	0.1598891731	0.1610826939	0.1683503836	0.1721867008	0.1741901108	0.1771952259	0.1837382779	0.1869778346	0.1900468883	0.1950980392	0.1968030691	0.2047953964	0.2125959079	0.2095268542	0.2169011083	0.2198849105	0.223316283	0.2223785166	0.2308610401	0.2276427962	0.2282608696	0.2367647059	0.2364236999	0.243115942	0.2405583973	0.2382992327	0.2435635124	0.2453111679	0.2439258312	0.2513000853	0.2526641091	0.2535379369	0.2506180733	0.2589087809	0.2554987212	0.2608056266	0.2576726343	0.2605924979	0.2595907928	0.2635549872	0.2627877238	0.2603154305	0.2589300938	0.2629369139	0.2664535379	0.2647911338	0.2648337596	0.2588022165	0.2625959079	0.2653452685	0.2645566922	0.2663256607	0.2659633419	0.2654518329	0.2648124467	0.2666453538	0.2648337596	0.268115942	0.2649616368	0.2651534527	0.2641304348	0.264599318	0.2668371697	0.2629582268	0.2613597613	0.263597613	0.2605072464	0.2648763853	0.2637468031	0.258397272	0.2644501279	0.2622122762	0.2619565217	0.2596121057	0.2591432225	0.257885763	0.261743393	0.2597399829	0.257054561	0.2584398977	0.2555626598	0.2542625746	0.2549658994	0.256372549	0.2541346974	0.2552216539	0.2582480818	0.2576726343	0.2485720375	0.2527067349	0.2527706735	0.2489343564	0.2472080136	0.2490409207	0.2483802217	0.2503836317	0.2489343564	0.2448849105	0.2453537937	0.2438618926	0.245140665	0.2410059676	0.2426044331	0.2426683717	0.2461210571	0.2396206309
